Unnamed: 0,title,year,kind,genre,rating,vote,country,language,cast,director,composer,writer,runtime
2680,Broken Paths 494,1986,movie,Action,2.9,32939,USA,English,"Chris Evans, Emma Watson, Amitabh Bachchan",Steven Spielberg,Hans Zimmer,Quentin Tarantino,139
2681,Broken Paths 165,2025,tv series,Comedy,7.7,15565,Australia,German,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",Steven Spielberg,A R Rahman,Quentin Tarantino,149
2682,The Last Journey 48,1980,movie,Comedy,6.0,80593,Canada,Hindi,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Steven Spielberg,A R Rahman,Aaron Sorkin,121
2683,Broken Paths 309,2005,movie,Thriller,6.1,2565,Australia,French,"Scarlett Johansson, Amitabh Bachchan, John Smith",James Cameron,A R Rahman,Quentin Tarantino,170
2684,Silent Night 311,2021,movie,Drama,4.9,40221,UK,English,"Emma Watson, John Smith, Amitabh Bachchan",Christopher Nolan,John Williams,Quentin Tarantino,178
2685,Golden Dreams 456,1982,movie,Action,2.2,78326,India,Hindi,"Chris Evans, Scarlett Johansson, John Smith",Christopher Nolan,Hans Zimmer,Raju Murugan,84
2686,Golden Dreams 294,1986,tv series,Comedy,7.7,96571,India,Hindi,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",Christopher Nolan,John Williams,Aaron Sorkin,169
2687,Broken Paths 303,2014,tv series,Romance,6.7,49120,India,English,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",Rajkumar Hirani,John Williams,Aaron Sorkin,149
2688,Shadow Rise 210,2019,movie,Drama,7.2,3062,Australia,German,"John Smith, Amitabh Bachchan, Chris Evans",Steven Spielberg,Hans Zimmer,Raju Murugan,98
2689,Shadow Rise 93,1988,tv series,Thriller,5.6,15235,Canada,French,"Chris Evans, Scarlett Johansson, John Smith",Steven Spielberg,Hans Zimmer,Aaron Sorkin,176
2690,Broken Paths 295,1997,movie,Thriller,7.6,22132,USA,German,"Amitabh Bachchan, Chris Evans, John Smith",Steven Spielberg,John Williams,Quentin Tarantino,89
2691,The Last Journey 382,1982,tv series,Drama,1.8,14020,UK,French,"Amitabh Bachchan, Emma Watson, Chris Evans",Christopher Nolan,John Williams,Raju Murugan,133
2692,Broken Paths 229,1980,tv series,Thriller,6.8,97241,UK,English,"Scarlett Johansson, Amitabh Bachchan, John Smith",Christopher Nolan,A R Rahman,Quentin Tarantino,152
2693,Broken Paths 306,2010,movie,Comedy,2.0,44811,Canada,French,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",James Cameron,Hans Zimmer,Quentin Tarantino,129
2694,Silent Night 368,2019,tv series,Thriller,8.5,5866,USA,English,"John Smith, Amitabh Bachchan, Emma Watson",James Cameron,Hans Zimmer,Raju Murugan,94
2695,Shadow Rise 500,1985,tv series,Comedy,9.7,94318,Canada,German,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,Hans Zimmer,Quentin Tarantino,162
2696,Silent Night 257,2015,tv series,Romance,6.2,51708,USA,French,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",James Cameron,Hans Zimmer,Aaron Sorkin,162
2697,Golden Dreams 232,2001,tv series,Action,8.3,42939,USA,Hindi,"Scarlett Johansson, Amitabh Bachchan, John Smith",Christopher Nolan,A R Rahman,Raju Murugan,176
2698,The Last Journey 195,2011,tv series,Thriller,3.4,88667,UK,German,"Scarlett Johansson, Amitabh Bachchan, John Smith",Christopher Nolan,A R Rahman,Raju Murugan,95
2699,Shadow Rise 151,2005,tv series,Action,5.8,56993,India,English,"Emma Watson, Amitabh Bachchan, John Smith",James Cameron,Hans Zimmer,Aaron Sorkin,83
2700,Broken Paths 371,1999,movie,Romance,3.7,40672,India,English,"Chris Evans, John Smith, Emma Watson",Rajkumar Hirani,John Williams,Aaron Sorkin,84
2701,Shadow Rise 69,2017,movie,Romance,4.3,32479,Australia,German,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",James Cameron,A R Rahman,Raju Murugan,169
2702,The Last Journey 296,1996,tv series,Drama,8.3,16487,Canada,Hindi,"John Smith, Emma Watson, Chris Evans",Steven Spielberg,John Williams,Aaron Sorkin,109
2703,Golden Dreams 75,2011,tv series,Romance,3.4,19651,USA,English,"John Smith, Scarlett Johansson, Emma Watson",Steven Spielberg,John Williams,Raju Murugan,155
2704,Broken Paths 437,2021,tv series,Thriller,9.8,11124,Australia,Spanish,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",Rajkumar Hirani,John Williams,Quentin Tarantino,78
2705,The Last Journey 52,1993,tv series,Action,6.9,62259,USA,French,"John Smith, Emma Watson, Chris Evans",Christopher Nolan,Hans Zimmer,Aaron Sorkin,144
2706,Broken Paths 17,1981,movie,Thriller,8.3,96372,Australia,German,"John Smith, Chris Evans, Amitabh Bachchan",Steven Spielberg,John Williams,Aaron Sorkin,90
2707,Golden Dreams 349,2024,tv series,Action,1.5,31499,Canada,English,"Scarlett Johansson, John Smith, Emma Watson",James Cameron,A R Rahman,Quentin Tarantino,152
2708,Shadow Rise 242,1993,movie,Comedy,1.5,95998,UK,Hindi,"Scarlett Johansson, John Smith, Amitabh Bachchan",James Cameron,Hans Zimmer,Quentin Tarantino,95
2709,The Last Journey 180,2007,movie,Thriller,6.7,47653,UK,English,"Chris Evans, Scarlett Johansson, Emma Watson",Steven Spielberg,Hans Zimmer,Raju Murugan,111
2710,Golden Dreams 31,1987,movie,Action,5.2,29761,India,German,"John Smith, Scarlett Johansson, Amitabh Bachchan",Christopher Nolan,Hans Zimmer,Raju Murugan,140
2711,Shadow Rise 78,2001,tv series,Drama,2.9,65223,UK,German,"John Smith, Chris Evans, Amitabh Bachchan",Steven Spielberg,Hans Zimmer,Aaron Sorkin,178
2712,Silent Night 316,2016,movie,Comedy,4.4,39628,Australia,German,"Scarlett Johansson, Chris Evans, Emma Watson",Rajkumar Hirani,A R Rahman,Raju Murugan,83
2713,Broken Paths 65,1984,movie,Thriller,4.2,54349,India,Spanish,"Emma Watson, Scarlett Johansson, John Smith",Rajkumar Hirani,A R Rahman,Aaron Sorkin,166
2714,Broken Paths 477,1991,movie,Romance,9.1,23311,Canada,Spanish,"John Smith, Emma Watson, Amitabh Bachchan",James Cameron,A R Rahman,Quentin Tarantino,101
2715,The Last Journey 436,2014,tv series,Action,10.0,22872,USA,Spanish,"Chris Evans, Amitabh Bachchan, Emma Watson",James Cameron,Hans Zimmer,Quentin Tarantino,174
2716,Silent Night 143,1980,movie,Thriller,6.7,1895,Canada,English,"John Smith, Emma Watson, Amitabh Bachchan",Christopher Nolan,A R Rahman,Aaron Sorkin,113
2717,Golden Dreams 499,1982,movie,Drama,9.0,88909,UK,French,"John Smith, Chris Evans, Scarlett Johansson",Rajkumar Hirani,John Williams,Quentin Tarantino,74
2718,Shadow Rise 471,2015,movie,Drama,6.3,22195,Australia,German,"Chris Evans, Scarlett Johansson, Emma Watson",James Cameron,John Williams,Quentin Tarantino,161
2719,Golden Dreams 210,2001,movie,Drama,7.8,17091,UK,Hindi,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",James Cameron,Hans Zimmer,Raju Murugan,157
2720,Golden Dreams 417,1990,tv series,Drama,1.1,97383,India,Hindi,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Aaron Sorkin,88
2721,The Last Journey 149,1985,tv series,Thriller,5.9,84616,India,German,"John Smith, Chris Evans, Emma Watson",Christopher Nolan,A R Rahman,Raju Murugan,179
2722,Broken Paths 422,1983,tv series,Romance,2.5,34523,Canada,French,"Scarlett Johansson, John Smith, Amitabh Bachchan",Christopher Nolan,John Williams,Aaron Sorkin,162
2723,The Last Journey 231,1983,tv series,Romance,7.3,6521,UK,English,"Amitabh Bachchan, Emma Watson, Chris Evans",Christopher Nolan,John Williams,Raju Murugan,172
2724,The Last Journey 331,1989,tv series,Action,6.5,12179,India,Hindi,"John Smith, Chris Evans, Amitabh Bachchan",Christopher Nolan,A R Rahman,Raju Murugan,81
2725,Broken Paths 275,2006,tv series,Comedy,3.6,52363,USA,Hindi,"Emma Watson, Chris Evans, John Smith",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,101
2726,Shadow Rise 450,2012,tv series,Comedy,8.9,27086,India,Hindi,"Chris Evans, Amitabh Bachchan, John Smith",Rajkumar Hirani,Hans Zimmer,Raju Murugan,86
2727,Shadow Rise 392,2006,movie,Drama,7.6,84560,UK,French,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",Christopher Nolan,John Williams,Quentin Tarantino,155
2728,Silent Night 172,1984,movie,Romance,1.2,44883,UK,German,"Chris Evans, Emma Watson, John Smith",Rajkumar Hirani,John Williams,Raju Murugan,115
2729,The Last Journey 162,1990,movie,Romance,6.3,66459,Australia,French,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",Rajkumar Hirani,John Williams,Quentin Tarantino,132
2730,Broken Paths 295,2006,movie,Drama,9.7,80941,Australia,Hindi,"John Smith, Scarlett Johansson, Emma Watson",James Cameron,A R Rahman,Aaron Sorkin,136
2731,The Last Journey 449,1990,tv series,Action,8.0,51347,USA,French,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,145
2732,Shadow Rise 171,2009,movie,Romance,8.8,81999,USA,English,"Scarlett Johansson, John Smith, Emma Watson",James Cameron,Hans Zimmer,Raju Murugan,105
2733,The Last Journey 324,2025,movie,Romance,5.0,54035,UK,English,"Chris Evans, Emma Watson, Scarlett Johansson",James Cameron,A R Rahman,Raju Murugan,133
2734,Shadow Rise 252,1982,movie,Drama,2.0,92774,India,English,"Chris Evans, John Smith, Scarlett Johansson",Steven Spielberg,John Williams,Quentin Tarantino,90
2735,Golden Dreams 94,2014,tv series,Thriller,7.1,38880,India,Hindi,"John Smith, Emma Watson, Scarlett Johansson",Christopher Nolan,John Williams,Aaron Sorkin,141
2736,Golden Dreams 320,1982,movie,Thriller,9.5,27274,Australia,German,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",James Cameron,Hans Zimmer,Raju Murugan,100
2737,Silent Night 175,2012,tv series,Drama,6.1,79990,India,Hindi,"Chris Evans, Amitabh Bachchan, John Smith",Steven Spielberg,John Williams,Quentin Tarantino,159
2738,Silent Night 238,2015,tv series,Drama,2.5,59843,UK,Hindi,"John Smith, Scarlett Johansson, Chris Evans",Christopher Nolan,John Williams,Aaron Sorkin,89
2739,Shadow Rise 101,1991,tv series,Comedy,3.1,88711,USA,French,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",James Cameron,Hans Zimmer,Quentin Tarantino,165
2740,Silent Night 81,1997,tv series,Thriller,8.6,11625,India,English,"Scarlett Johansson, John Smith, Chris Evans",James Cameron,John Williams,Aaron Sorkin,112
2741,The Last Journey 48,1983,movie,Comedy,9.0,21738,India,Spanish,"Amitabh Bachchan, Emma Watson, John Smith",Rajkumar Hirani,A R Rahman,Aaron Sorkin,160
2742,Golden Dreams 266,1998,tv series,Drama,6.2,99809,Canada,French,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",Steven Spielberg,John Williams,Raju Murugan,155
2743,The Last Journey 435,2011,movie,Romance,2.7,68539,Australia,Spanish,"Chris Evans, Amitabh Bachchan, John Smith",Christopher Nolan,Hans Zimmer,Quentin Tarantino,107
2744,Shadow Rise 144,2004,tv series,Romance,3.8,85179,India,Spanish,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Steven Spielberg,A R Rahman,Raju Murugan,129
2745,Silent Night 162,1993,movie,Romance,3.8,6553,USA,French,"John Smith, Amitabh Bachchan, Scarlett Johansson",Rajkumar Hirani,A R Rahman,Aaron Sorkin,159
2746,Golden Dreams 255,2000,movie,Action,2.9,76584,Canada,German,"Chris Evans, Emma Watson, Amitabh Bachchan",Christopher Nolan,John Williams,Raju Murugan,121
2747,The Last Journey 141,2006,movie,Action,2.6,56233,India,French,"John Smith, Emma Watson, Scarlett Johansson",James Cameron,A R Rahman,Raju Murugan,89
2748,Golden Dreams 368,2007,movie,Drama,7.6,87887,UK,French,"Scarlett Johansson, Chris Evans, John Smith",James Cameron,A R Rahman,Raju Murugan,88
2749,Silent Night 191,1981,movie,Romance,2.2,5215,UK,Spanish,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",James Cameron,Hans Zimmer,Quentin Tarantino,105
2750,Broken Paths 311,2021,movie,Comedy,8.1,87299,UK,German,"Chris Evans, John Smith, Emma Watson",James Cameron,Hans Zimmer,Quentin Tarantino,124
2751,Golden Dreams 32,2024,tv series,Romance,8.7,25620,Canada,Spanish,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Raju Murugan,100
2752,Broken Paths 487,1981,tv series,Drama,8.5,13247,USA,English,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",James Cameron,A R Rahman,Quentin Tarantino,66
2753,Broken Paths 66,2003,movie,Romance,7.4,77377,UK,French,"Chris Evans, Amitabh Bachchan, John Smith",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,103
2754,Shadow Rise 283,1996,tv series,Thriller,6.9,53905,Canada,French,"Emma Watson, John Smith, Chris Evans",James Cameron,Hans Zimmer,Quentin Tarantino,180
2755,Shadow Rise 473,2011,tv series,Thriller,7.9,69620,UK,German,"John Smith, Amitabh Bachchan, Chris Evans",Christopher Nolan,Hans Zimmer,Raju Murugan,108
2756,Silent Night 321,1993,movie,Drama,6.3,33069,UK,Spanish,"Chris Evans, Amitabh Bachchan, Emma Watson",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,85
2757,Shadow Rise 461,1988,movie,Drama,2.9,35555,Australia,English,"John Smith, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,Hans Zimmer,Quentin Tarantino,168
2758,Silent Night 203,1991,tv series,Thriller,7.4,76219,India,German,"Amitabh Bachchan, John Smith, Emma Watson",James Cameron,A R Rahman,Raju Murugan,117
2759,Shadow Rise 116,1997,movie,Drama,9.3,89980,Canada,English,"Chris Evans, Emma Watson, John Smith",Rajkumar Hirani,John Williams,Raju Murugan,158
2760,Silent Night 496,1983,movie,Drama,7.4,4796,Canada,Spanish,"John Smith, Scarlett Johansson, Emma Watson",Steven Spielberg,John Williams,Aaron Sorkin,164
2761,Golden Dreams 449,1980,tv series,Drama,5.8,98853,India,Hindi,"Amitabh Bachchan, John Smith, Emma Watson",James Cameron,Hans Zimmer,Raju Murugan,127
2762,Shadow Rise 247,1986,movie,Drama,1.1,46408,Australia,Spanish,"Amitabh Bachchan, Chris Evans, Emma Watson",James Cameron,A R Rahman,Quentin Tarantino,93
2763,Silent Night 265,1998,movie,Thriller,3.3,23090,UK,Hindi,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",Christopher Nolan,John Williams,Raju Murugan,173
2764,Silent Night 420,1998,movie,Comedy,3.9,4610,UK,French,"Emma Watson, Chris Evans, Scarlett Johansson",Steven Spielberg,A R Rahman,Aaron Sorkin,94
2765,Golden Dreams 456,1994,tv series,Comedy,6.2,76069,Australia,English,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",Rajkumar Hirani,John Williams,Raju Murugan,95
2766,Silent Night 59,2016,movie,Romance,9.4,8120,Canada,French,"Amitabh Bachchan, John Smith, Chris Evans",Rajkumar Hirani,John Williams,Raju Murugan,160
2767,The Last Journey 111,1995,tv series,Thriller,6.5,58830,UK,Spanish,"Chris Evans, Emma Watson, John Smith",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,131
2768,The Last Journey 280,2020,movie,Comedy,3.2,15075,Australia,German,"John Smith, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Quentin Tarantino,63
2769,The Last Journey 306,2021,movie,Comedy,5.7,76329,UK,French,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",Christopher Nolan,Hans Zimmer,Quentin Tarantino,115
2770,Shadow Rise 438,1997,tv series,Romance,2.4,52499,India,French,"John Smith, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Quentin Tarantino,162
2771,Broken Paths 141,1988,tv series,Comedy,7.6,47882,UK,Hindi,"John Smith, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Raju Murugan,82
2772,Silent Night 168,1984,movie,Thriller,8.2,80170,Australia,German,"Emma Watson, John Smith, Chris Evans",Rajkumar Hirani,Hans Zimmer,Raju Murugan,70
2773,The Last Journey 109,2008,tv series,Comedy,2.9,64366,Australia,French,"John Smith, Amitabh Bachchan, Emma Watson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,113
2774,The Last Journey 92,2021,movie,Romance,5.5,64196,Australia,Spanish,"John Smith, Scarlett Johansson, Emma Watson",Rajkumar Hirani,John Williams,Quentin Tarantino,164
2775,Golden Dreams 342,2016,tv series,Comedy,3.3,83332,UK,Hindi,"Amitabh Bachchan, Chris Evans, John Smith",James Cameron,Hans Zimmer,Raju Murugan,83
2776,Shadow Rise 150,1995,movie,Drama,6.6,83007,Canada,Hindi,"John Smith, Chris Evans, Emma Watson",Christopher Nolan,A R Rahman,Raju Murugan,76
2777,Shadow Rise 386,1981,movie,Drama,6.0,71290,UK,Hindi,"Emma Watson, Amitabh Bachchan, Chris Evans",Christopher Nolan,John Williams,Raju Murugan,74
2778,Golden Dreams 145,2007,tv series,Drama,2.2,2342,Canada,Hindi,"Chris Evans, Emma Watson, Amitabh Bachchan",Christopher Nolan,Hans Zimmer,Raju Murugan,81
2779,Silent Night 385,1989,movie,Drama,8.1,86709,Canada,English,"John Smith, Chris Evans, Scarlett Johansson",Christopher Nolan,A R Rahman,Raju Murugan,173
2780,Silent Night 198,1994,tv series,Romance,7.1,98563,Canada,English,"Chris Evans, Emma Watson, John Smith",James Cameron,Hans Zimmer,Raju Murugan,136
2781,Golden Dreams 176,2010,tv series,Drama,2.7,22009,India,Spanish,"Emma Watson, Scarlett Johansson, John Smith",Steven Spielberg,John Williams,Raju Murugan,134
2782,Shadow Rise 19,1986,movie,Comedy,1.4,32997,USA,English,"Chris Evans, John Smith, Amitabh Bachchan",Christopher Nolan,A R Rahman,Aaron Sorkin,95
2783,Silent Night 254,2010,movie,Comedy,4.7,95248,UK,Spanish,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",James Cameron,John Williams,Quentin Tarantino,101
2784,Silent Night 408,2025,tv series,Comedy,1.9,50829,Australia,Hindi,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Raju Murugan,127
2785,The Last Journey 471,2007,movie,Comedy,1.8,53456,UK,Hindi,"Emma Watson, Amitabh Bachchan, John Smith",Rajkumar Hirani,A R Rahman,Raju Murugan,89
2786,Shadow Rise 200,1999,tv series,Action,5.4,54939,UK,Hindi,"John Smith, Chris Evans, Emma Watson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,160
2787,Golden Dreams 192,2014,movie,Romance,4.6,52876,UK,Hindi,"Amitabh Bachchan, John Smith, Chris Evans",Steven Spielberg,Hans Zimmer,Quentin Tarantino,120
2788,Silent Night 153,2010,movie,Romance,8.4,47359,India,English,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",James Cameron,John Williams,Aaron Sorkin,179
2789,Silent Night 398,2002,movie,Romance,1.1,47067,Canada,Hindi,"Emma Watson, Scarlett Johansson, John Smith",Steven Spielberg,John Williams,Raju Murugan,86
2790,Silent Night 231,1997,tv series,Drama,1.3,73610,Australia,German,"Chris Evans, Amitabh Bachchan, Emma Watson",James Cameron,Hans Zimmer,Quentin Tarantino,65
2791,Broken Paths 401,2005,movie,Thriller,5.8,45041,USA,French,"John Smith, Chris Evans, Scarlett Johansson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,124
2792,The Last Journey 414,2018,tv series,Romance,7.3,72693,UK,Hindi,"Amitabh Bachchan, Emma Watson, Chris Evans",James Cameron,Hans Zimmer,Quentin Tarantino,100
2793,Golden Dreams 41,2009,tv series,Thriller,1.3,83591,India,French,"Scarlett Johansson, John Smith, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Raju Murugan,149
2794,The Last Journey 40,2010,tv series,Drama,4.9,25351,India,English,"Emma Watson, Scarlett Johansson, Chris Evans",Rajkumar Hirani,John Williams,Aaron Sorkin,96
2795,The Last Journey 444,2021,tv series,Drama,4.9,81043,Canada,Hindi,"Amitabh Bachchan, Emma Watson, John Smith",Christopher Nolan,Hans Zimmer,Quentin Tarantino,79
2796,The Last Journey 276,1986,tv series,Comedy,6.3,67743,Canada,German,"Chris Evans, Amitabh Bachchan, Emma Watson",Steven Spielberg,Hans Zimmer,Raju Murugan,68
2797,Shadow Rise 8,2008,movie,Romance,2.4,39433,USA,French,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",James Cameron,A R Rahman,Aaron Sorkin,111
2798,The Last Journey 425,1985,tv series,Drama,7.3,17011,USA,German,"Emma Watson, Scarlett Johansson, Chris Evans",Christopher Nolan,A R Rahman,Quentin Tarantino,106
2799,Broken Paths 265,1983,movie,Romance,6.2,52186,UK,German,"Chris Evans, John Smith, Scarlett Johansson",Rajkumar Hirani,A R Rahman,Raju Murugan,106
2800,Golden Dreams 196,1989,tv series,Action,4.9,80706,USA,English,"John Smith, Scarlett Johansson, Amitabh Bachchan",Christopher Nolan,John Williams,Raju Murugan,101
2801,Golden Dreams 257,1992,tv series,Thriller,4.3,46732,India,German,"Amitabh Bachchan, Emma Watson, Chris Evans",Rajkumar Hirani,Hans Zimmer,Raju Murugan,75
2802,The Last Journey 86,1990,tv series,Drama,7.4,89753,UK,Spanish,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,80
2803,Golden Dreams 220,2009,tv series,Comedy,3.9,88593,Canada,French,"Amitabh Bachchan, Chris Evans, Emma Watson",James Cameron,John Williams,Aaron Sorkin,73
2804,Golden Dreams 464,2007,movie,Romance,7.8,60687,USA,Spanish,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Aaron Sorkin,150
